          Dvm          Svm          D11          D22          D33          D23          D13          D12             SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP    TAYLAV      WORKAV      WRATE1      WRATE2 
  0.81424E+00  0.33974E+01    -0.62547E+00  0.76726E+00 -0.14178E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.16229E+01  0.21796E+01 -0.55669E+00 -0.22284E-02 -0.17192E-01  0.63618E-04        0.     2.766  0.0000E+00  0.2766E+01  0.2766E+01
  0.81642E+00  0.34007E+01    -0.57735E+00  0.78868E+00 -0.21132E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.15944E+01  0.21929E+01 -0.59848E+00 -0.33287E-02 -0.23560E-01  0.14044E-02        0.     2.776  0.0000E+00  0.2776E+01  0.2776E+01
  0.81481E+00  0.33986E+01    -0.52483E+00  0.80409E+00 -0.27926E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.15606E+01  0.22024E+01 -0.64180E+00 -0.56654E-02 -0.33524E-01 -0.42095E-02        0.     2.769  0.0000E+00  0.2769E+01  0.2769E+01
  0.80913E+00  0.33919E+01    -0.46832E+00  0.81339E+00 -0.34507E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.15309E+01  0.22062E+01 -0.67536E+00 -0.72183E-02 -0.36320E-01 -0.97429E-02        0.     2.744  0.0000E+00  0.2744E+01  0.2744E+01
  0.79976E+00  0.33787E+01    -0.40825E+00  0.81650E+00 -0.40825E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.14939E+01  0.22063E+01 -0.71243E+00 -0.97937E-02 -0.39073E-01 -0.10503E-01        0.     2.702  0.0000E+00  0.2702E+01  0.2702E+01
  0.78697E+00  0.33589E+01    -0.34507E+00  0.81339E+00 -0.46832E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.14511E+01  0.22019E+01 -0.75080E+00 -0.11843E-01 -0.41074E-01  0.47302E-03        0.     2.643  0.0000E+00  0.2643E+01  0.2643E+01
  0.77237E+00  0.33266E+01    -0.27926E+00  0.80409E+00 -0.52483E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.13916E+01  0.21905E+01 -0.79898E+00 -0.20007E-01 -0.40150E-01  0.19249E-02        0.     2.569  0.0000E+00  0.2569E+01  0.2569E+01
  0.75814E+00  0.32752E+01    -0.21132E+00  0.78868E+00 -0.57735E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.13064E+01  0.21678E+01 -0.86137E+00 -0.19816E-01 -0.36729E-01  0.17030E-02        0.     2.483  0.0000E+00  0.2483E+01  0.2483E+01
  0.75760E+00  0.31580E+01    -0.14178E+00  0.76726E+00 -0.62547E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.11110E+01  0.21037E+01 -0.99273E+00 -0.18074E-01 -0.36746E-01  0.38302E-02        0.     2.393  0.0000E+00  0.2393E+01  0.2393E+01
  0.77405E+00  0.29867E+01    -0.71162E-01  0.74000E+00 -0.66883E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.79394E+00  0.19778E+01 -0.11838E+01 -0.18148E-01 -0.35471E-01  0.10249E-01        0.     2.312  0.0000E+00  0.2312E+01  0.2312E+01
  0.80434E+00  0.28066E+01     0.16653E-15  0.70711E+00 -0.70711E+00  0.43296E-16  0.43296E-16  0.43296E-16    -0.31864E+00  0.17556E+01 -0.14370E+01 -0.21455E-01 -0.29969E-01  0.91080E-02        0.     2.257  0.0000E+00  0.2257E+01  0.2257E+01
  0.81412E+00  0.27749E+01     0.71162E-01  0.66883E+00 -0.74000E+00  0.43296E-16  0.43296E-16  0.43296E-16     0.28908E+00  0.14371E+01 -0.17261E+01 -0.24115E-01 -0.40613E-01  0.16602E-01        0.     2.259  0.0000E+00  0.2259E+01  0.2259E+01
  0.80927E+00  0.28168E+01     0.14178E+00  0.62547E+00 -0.76726E+00  0.43296E-16  0.43296E-16  0.43296E-16     0.55653E+00  0.12735E+01 -0.18301E+01 -0.37868E-01 -0.48380E-01  0.26615E-01        0.     2.280  0.0000E+00  0.2280E+01  0.2280E+01
  0.80359E+00  0.28712E+01     0.21132E+00  0.57735E+00 -0.78868E+00  0.43296E-16  0.43296E-16  0.43296E-16     0.80900E+00  0.10968E+01 -0.19058E+01 -0.37269E-01 -0.31958E-01  0.27551E-01        0.     2.307  0.0000E+00  0.2307E+01  0.2307E+01
  0.79657E+00  0.29624E+01     0.27926E+00  0.52483E+00 -0.80409E+00  0.43296E-16  0.43296E-16  0.43296E-16     0.10637E+01  0.90860E+00 -0.19723E+01 -0.34793E-01 -0.87089E-02  0.25999E-01        0.     2.360  0.0000E+00  0.2360E+01  0.2360E+01
  0.80603E+00  0.29796E+01     0.34507E+00  0.46832E+00 -0.81339E+00  0.43296E-16  0.43296E-16  0.43296E-16     0.11121E+01  0.86860E+00 -0.19807E+01 -0.36617E-01 -0.83034E-02  0.25957E-01        0.     2.402  0.0000E+00  0.2402E+01  0.2402E+01
